month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-08,,,,,,,,,,,2017-08-31,15.0,1.0,0.0025,0.319089,15.0,0.0,ADANIPORTS;ASIANPAINT;EICHERMOT;HCLTECH;HINDALCO;INDIGO;INFY;JSWSTEEL;KOTAKBANK;LT;MARUTI;NESTLEIND;POWERGRID;TATACONSUM;TATASTEEL,
2017-09,-0.007852,-0.007852,-0.013037,0.005185,0.0,99.214809,99.214809,98.696289,-0.039441,-0.0359,2017-09-29,15.0,0.271017,0.000678,0.221665,2.0,2.0,BEL;ONGC,INFY;TATACONSUM
2017-10,0.0556,0.055174,0.055851,-0.00025,0.000426,104.731174,104.688892,104.208546,0.0,-0.002736,2017-10-31,15.0,0.509397,0.001273,-0.012075,4.0,4.0,INFY;M&M;SHRIRAMFIN;TCS,ADANIPORTS;BEL;EICHERMOT;HINDALCO
2017-11,0.003204,-0.000645,-0.010522,0.013727,0.00385,105.066779,104.62132,103.112044,-0.012702,-0.021617,2017-11-30,15.0,0.627179,0.001568,0.013941,5.0,5.0,ADANIPORTS;BAJFINANCE;EICHERMOT;HINDALCO;ULTRACEMCO,INDIGO;INFY;MARUTI;ONGC;SHRIRAMFIN
2017-12,0.030555,0.02621,0.029741,0.000814,0.004345,108.277089,107.363409,106.178725,0.0,-7.6e-05,2017-12-29,14.0,0.721491,0.001804,-0.104052,5.0,6.0,INDIGO;INFY;ITC;ONGC;SUNPHARMA,ASIANPAINT;BAJFINANCE;HINDALCO;JSWSTEEL;TCS;ULTRACEMCO
2018-01,0.029215,0.026438,0.047195,-0.01798,0.002777,111.440406,110.201905,111.189866,-0.013904,-0.009227,2018-01-31,15.0,0.743327,0.001858,0.155811,6.0,5.0,ASIANPAINT;BAJFINANCE;BEL;HINDALCO;TATACONSUM;ULTRACEMCO,INFY;ITC;NESTLEIND;POWERGRID;SUNPHARMA
2018-02,-0.036011,-0.038672,-0.048501,0.01249,0.002661,107.42734,105.940147,105.797086,-0.049414,-0.05728,2018-02-28,15.0,0.728445,0.001821,0.219715,5.0,5.0,BAJAJFINSV;GRASIM;MARUTI;NESTLEIND;POWERGRID,ADANIPORTS;INDIGO;M&M;ONGC;ULTRACEMCO
2018-03,-0.01956,-0.022368,-0.036134,0.016574,0.002807,105.326019,103.570526,101.974206,-0.068008,-0.091344,2018-03-28,15.0,0.447502,0.001119,0.155491,3.0,3.0,ADANIPORTS;M&M;ULTRACEMCO,BEL;MARUTI;POWERGRID
2018-04,0.098963,0.098922,0.061862,0.037101,4.1e-05,115.749378,113.815924,108.282491,0.0,-0.035134,2018-04-30,15.0,0.70993,0.001775,-0.136154,5.0,5.0,BEL;ITC;MARUTI;ONGC;POWERGRID,BAJAJFINSV;BAJFINANCE;KOTAKBANK;M&M;TATACONSUM
2018-05,-0.029606,-0.038146,-0.000298,-0.029308,0.00854,112.322513,109.474274,108.250234,-0.030872,-0.035421,2018-05-31,15.0,0.399579,0.000999,0.104992,3.0,3.0,INDIGO;SUNPHARMA;TATACONSUM,ASIANPAINT;BEL;ITC
2018-06,-0.025536,-0.027726,-0.002035,-0.023501,0.00219,109.454226,106.439003,108.029919,-0.05562,-0.037384,2018-06-29,15.0,1.464686,0.003662,0.505367,11.0,11.0,BAJAJ-AUTO;BAJFINANCE;CIPLA;HDFCBANK;JSWSTEEL;KOTAKBANK;M&M;RELIANCE;SHRIRAMFIN;TECHM;TITAN,ADANIPORTS;GRASIM;HCLTECH;INDIGO;MARUTI;ONGC;POWERGRID;SUNPHARMA;TATACONSUM;TATASTEEL;ULTRACEMCO
2018-07,0.03458,0.031202,0.059939,-0.025358,0.003378,113.239169,109.760101,114.505082,-0.022963,0.0,2018-07-31,15.0,0.409085,0.001023,0.393451,3.0,3.0,ITC;TATACONSUM;WIPRO,BAJFINANCE;HINDALCO;RELIANCE
2018-08,0.035498,0.030841,0.02853,0.006969,0.004657,117.258988,113.145231,117.771903,0.0,-0.004941,2018-08-31,15.0,0.437264,0.001093,0.050099,3.0,3.0,HINDALCO;SBIN;TATASTEEL,ITC;TECHM;WIPRO
2018-09,-0.076359,-0.080131,-0.064214,-0.012145,0.003772,108.305178,104.078775,110.209316,-0.076359,-0.068838,2018-09-28,15.0,0.819032,0.002048,0.362335,6.0,6.0,BAJAJFINSV;BAJFINANCE;HINDUNILVR;ITC;MARUTI;TECHM,BAJAJ-AUTO;EICHERMOT;HINDALCO;SHRIRAMFIN;TATACONSUM;TATASTEEL
2018-10,-0.027688,-0.028295,-0.049756,0.022068,0.000607,105.306434,101.133895,104.725791,-0.101933,-0.115168,2018-10-31,15.0,0.403767,0.001009,0.412476,3.0,3.0,ASIANPAINT;EICHERMOT;RELIANCE,CIPLA;HINDUNILVR;SBIN
2018-11,0.070821,0.070339,0.047191,0.02363,0.000482,112.76434,108.247557,109.667869,-0.038331,-0.073412,2018-11-30,15.0,0.399628,0.000999,0.292778,3.0,3.0,CIPLA;INFY;SBIN,ASIANPAINT;BAJFINANCE;RELIANCE
